V1	V2	V3	V4	V5	V6
-7.0910423766976	-6.7282825586161	-5.29180318093902	-4.97989827699024	-3.91487973191648	-4.27974063199724
-7.37028701808918	-6.88861901661258	-9.44955011971541	-9.19869379512807	-5.65647448743205	-5.85019736377158
-7.62288145280315	-7.35172584038502	-6.64531817321006	-6.36554541234214	-3.57684089316642	-3.94736533435132
-7.49090730752792	-7.08199907103524	-6.09728618708264	-5.79409744402694	-3.81940431984205	-4.11794849984094
-6.35191031371999	-6.04179446025233	-4.90234564634633	-4.56681027317379	-4.096087407897	-4.46458215056923
-7.9483581757515	-7.50146581638936	-6.74166235200346	-6.41457992724499	-5.32175597393007	-5.5649477424573
-7.71052100764873	-7.41080668510805	-7.15802414567183	-6.85686226132066	-4.90046695155956	-5.15337182637105
-7.32902560683317	-6.96797625019466	-6.03623122011608	-5.71425542279532	-4.51899286938226	-4.84811560055905
-8.15048666128814	-7.89183734593035	-6.10175296140586	-5.83104868630458	-4.46491166120942	-4.83638383031305
-6.83344654078767	-6.5671572656895	-6.53171493598199	-6.20120181877908	-3.52949188041184	-3.88245674074461
-6.80203699946307	-6.40905601948874	-5.01005062306137	-4.7198048422237	-3.91997918863362	-4.15391318916969
-6.67321434666207	-6.26907544538409	-4.63040363576397	-4.2901072709272	-3.71181751465847	-4.01059329059728
-7.49032046069336	-7.21320808102095	-6.69676676748156	-6.40935062602412	-4.5387038724433	-4.85926797667814
-6.50447550836858	-6.17023217894299	-6.92300518031579	-6.60808138409558	-3.4951223654491	-3.85513060593649
-8.2097771140828	-7.89146933901036	-6.62914019349552	-6.30457193535424	-4.10366135365275	-4.42704376392797
-6.14474148835797	-5.72660941810394	-7.66185486502964	-7.35324280204193	-3.38176044109594	-3.66268178177678
-6.90217736160176	-6.55353228725234	-5.02861491058245	-4.69307375417958	-2.70965687365722	-3.05466306297326
-7.25737422049983	-6.78424984375715	-3.66561670194057	-3.41936131062123	-2.32662127940052	-2.53485187432172
-8.14037267296206	-7.751355829123	-6.79637066341366	-6.49308653896307	-4.13221256506279	-4.53265104904561
-6.73089713441686	-6.40103487373697	-8.03431202459677	-7.68924984005871	-1.28490782069138	-1.58031161327064
-7.98401776623208	-7.71080065083389	-7.29687809523076	-6.98354652592798	-4.66108280583551	-5.00923962161919
-6.76986401653829	-6.36555175858993	-6.38069591191958	-6.12102121829246	-2.36808943277485	-2.70543314260765
-5.57533955793337	-5.26951029509145	-6.42758396330564	-6.11763342789402	-3.6014660678988	-3.88054551038611
-7.02509478772099	-6.58998728176516	-6.95574047489795	-6.64987283418142	-3.27567482498829	-3.621351335611
-6.10492420307731	-5.59302120473733	-6.57616231170905	-6.30453913158075	-3.61619670331811	-4.00190082699158
-2.64001791490083	-2.73422282326084	-0.205358755104575	-0.901783279476442	-0.374919398676738	-0.529037864295191
-6.94278946749438	-6.54805709874915	-3.52411144742758	-3.25172100569491	-2.14193324758462	-2.31336665471652
-7.23863508888939	-6.81710590785541	-9.17143861020853	-8.89873150967258	-5.16878815330625	-5.57341205154754
-7.93080721343365	-7.26522473452316	-5.00781481759197	-4.79485616214301	-4.08003287732073	-4.42543284634703
-5.57999199985274	-5.11301132527966	-2.73371215583811	-2.37573648902779	-1.99452954026267	-2.32124459800613
-7.1758831920282	-6.80402623633966	-3.79687666427239	-3.52715655155093	-3.37645673225978	-3.60088273826563
-6.70687747889391	-6.40420315476564	-5.38323873197457	-5.05410697271815	-3.39455082951245	-3.75544264779967
-6.70519797962896	-6.3393747555431	-4.19495992225268	-3.92020674778002	-0.759281792506911	-1.17443290117857
-6.59990815885838	-6.20164658989307	-7.36735268916564	-7.10433703107508	-2.89821778544935	-3.20580743564299
-6.8768568855411	-6.47537812136525	-4.81187565438614	-4.58296610462527	-3.20850638017725	-3.50136246364073
-6.84305686319101	-6.57881930776492	-5.70807659356817	-5.42213664239443	-2.00704392533529	-2.25885589915203
-7.68258606028395	-7.23543180629385	-7.81103394867303	-7.55817510509347	-4.68871214124942	-5.01177973193376
-8.08117496705997	-7.69767753892268	-8.5428647325249	-8.29664795160088	-5.5735814707173	-5.91645068746149
-6.66419709558825	-6.33227514854591	-7.15723879896305	-6.82756755122805	-3.69118877372787	-4.05324471954405
-7.18737646097362	-6.86261883399699	-7.64021477729632	-7.30785246944406	-4.42759407562325	-4.82831852690787
-8.15989915743293	-7.64331842558759	-5.94922021794416	-5.7078604344143	-4.75296150177533	-5.17386134908102
-7.41153370178461	-6.99097424746511	-3.04661075723544	-2.75359885705914	-2.24507944803982	-2.59880870909817
-7.25242919946397	-6.79075474979921	-6.6654267377147	-6.38093056932307	-3.96730215410755	-4.25296156579981
0.997490725198519	0.966336799080461	-0.618868490222497	-0.503031999852359	0.717347720619872	1.47538960553044
